Map Type,Map Number,Nodes,Probability Distribution,Starting At Node,Shortest Distance,Worst Distance,Optimal,Worst,OptimalExpected,WorstExpected,OptimalExpectedHeuristic,MostProbable,Closest,Random,MCTS-UCT,ExpectedDistanceFixed,ExpectedDistanceMurrieta,ExpectedDistanceSimple,PartialOptimalHeuristic
H,5,3,Gamma,0,1884.87,1887.35,1003.53,1159.33,1003.53,1159.33,1003.53,1003.53,1003.53,1159.33,1003.53,1003.53,1003.53,1003.53,1003.53
H,5,4,Gamma,0,3156.48,3358.45,1455.3,1618.13,1403.44,1814.01,1403.44,1403.44,1814.01,1776.34,1403.44,1403.44,1403.44,1403.44,1403.44
H,5,5,Gamma,0,3533.13,3803.08,1250.08,1830.08,1250.08,2281.27,1250.08,1250.08,1250.08,1250.08,1250.08,1250.08,1250.08,1250.08,1250.08
H,5,6,Gamma,0,3147.47,3482.54,1394.53,1995.34,1392.99,2092.67,1392.99,1394.53,1605.23,1901.09,1392.99,1394.53,1550.97,1392.99,1392.99
H,5,7,Gamma,0,5097.14,5906.89,2719.75,2935.7,2247.5,3638.9,2247.5,2247.5,2719.75,2744.06,2247.5,2344.95,2600.94,2247.5,2247.5
H,5,8,Gamma,0,5832.57,6733.09,3321.08,4024.01,2305.64,4431.48,2305.64,2331.92,2673.41,3056.74,2305.64,2317.91,2557.52,2305.64,2305.64
H,5,9,Gamma,0,5752.16,7233.96,2787.3,3438.58,2438.79,4237.42,2732.13,2529.87,3255.89,3798.41,2495.92,2718.1,3182.24,2438.79,2716.78
H,5,10,Gamma,0,5781.75,6892.55,2894.55,3435.77,2326.34,4505.91,2363.52,2405.71,2944.34,3444.59,2326.34,2329.24,2824.87,2344.36,2392.9
H,5,11,Gamma,0,6797.75,8116.26,2778.24,3903.93,2674.42,5053.47,2839.38,2753.17,3160.26,3361.49,2712.29,2688.83,2964.54,2705.11,2839.38
H,5,12,Gamma,0,7174.05,9465.99,2756.96,4734.14,2638.42,5609.6,2657.64,2900.72,2762.38,4781.72,2638.42,2830.61,2694.36,2644.77,2667
H,5,13,Gamma,0,8359.11,10860.5,3443.93,5003.22,2864.77,7022.25,2998.67,3142.15,3411.36,5309.67,2906.35,3082.78,3156.46,2864.77,3036.57

