Map Type,Map Number,Nodes,Probability Distribution,Starting At Node,Shortest Distance,Worst Distance,Optimal,Worst,OptimalExpected,WorstExpected,OptimalExpectedHeuristic,MostProbable,Closest,Random,MCTS-UCT,ExpectedDistanceFixed,ExpectedDistanceMurrieta,ExpectedDistanceSimple,PartialOptimalHeuristic
H,4,3,Exponential,0,1503.59,1522.76,648.729,703.849,648.729,703.849,648.729,648.729,648.729,703.849,648.729,648.729,648.729,648.729,648.729
H,4,4,Exponential,0,2020.62,2146.27,725.996,837.13,662.474,837.13,662.474,662.474,725.996,837.13,662.474,662.474,662.474,662.474,662.474
H,4,5,Exponential,0,3101.27,3299.99,752.069,1004.11,744.65,1208.5,744.65,744.65,752.069,744.65,744.65,744.65,744.65,744.65,744.65
H,4,6,Exponential,0,3262.07,3497.92,630.457,824.632,536.797,1208.16,543.101,536.797,630.457,823.689,536.797,536.797,593.285,543.101,543.101
H,4,7,Exponential,0,3828.63,4374.04,995.198,1555.49,967.086,1853.82,972.221,967.086,977.112,1478.21,967.086,967.086,977.112,967.086,972.221
H,4,8,Exponential,0,5338.17,6415.38,1073.05,2118.57,1032.92,2530.73,1034.86,1032.92,2145.96,1623.59,1032.92,1032.92,1052.21,1032.92,1034.86
H,4,9,Exponential,0,6843.79,8581.97,1414.43,2913.16,886.44,3888.54,889.345,886.44,2387.5,3348.51,886.44,886.44,1041.85,886.44,886.44
H,4,10,Exponential,0,7421.5,8923.96,1613.36,2329.21,1486.84,4222.43,1486.84,1486.84,3851.39,3557.73,1486.84,1486.84,1584.11,1486.84,1486.84
H,4,11,Exponential,0,7319.95,9528.28,3123.06,3828.66,1320.83,4805.69,1333.77,1320.83,1898.59,2157.21,1320.83,1320.83,1898.59,1321.63,1338.68
H,4,12,Exponential,0,8621.91,11369.2,2235.16,2734.9,1600.47,5638.81,1621.09,1600.47,2516.83,4411.46,1618.38,1600.47,1838.47,1600.47,1646.57
H,4,13,Exponential,0,7617.96,9595.77,1830.15,2590.36,1460.22,5069.22,1461.6,1497.51,2063.11,2656.84,1541.13,1497.14,1754.86,1460.22,1585.33

