Map Type,Map Number,Nodes,Probability Distribution,Starting At Node,Shortest Distance,Worst Distance,Optimal,Worst,OptimalExpected,WorstExpected,OptimalExpectedHeuristic,MostProbable,Closest,Random,MCTS-UCT,ExpectedDistanceFixed,ExpectedDistanceMurrieta,ExpectedDistanceSimple,PartialOptimalHeuristic
H,4,3,Normal,0,1503.59,1522.76,965.336,1260.59,965.336,1260.59,965.336,965.336,965.336,1260.59,965.336,965.336,965.336,965.336,965.336
H,4,4,Normal,0,2020.62,2146.27,1461.97,1589.48,1274.01,1649.51,1388.07,1430.92,1461.97,1589.48,1274.01,1274.01,1274.01,1274.01,1388.07
H,4,5,Normal,0,3101.27,3299.99,1777.88,2512.95,1628.08,2544.78,1628.08,1628.08,1777.88,1661.41,1628.08,1628.08,1818.35,1628.08,1628.08
H,4,6,Normal,0,3262.07,3497.92,1796.86,2551.15,1571.72,2568.2,1579.66,1576.55,1796.86,2044.8,1576.55,1576.55,1909.78,1576.55,1579.66
H,4,7,Normal,0,3828.63,4374.04,2523.06,2515.21,2041.55,3304.73,2088.2,2245.32,2408.3,2559.97,2041.55,2109.37,2252.22,2041.55,2041.55
H,4,8,Normal,0,5338.17,6415.38,3437.31,3801.36,2381.31,4689.28,2381.31,2642.53,2953.37,3546.61,2394.03,2598.52,2885.03,2381.31,2381.31
H,4,9,Normal,0,6843.79,8581.97,2949.62,5781.73,2851.96,6271.27,3142.6,3002.68,3185.85,5473.97,2851.96,2929.69,3163.08,2981.91,3251.94
H,4,10,Normal,0,7421.5,8923.96,4879.98,4757.15,3757.17,6037.49,3819.13,3819.06,4736.48,4747.5,3757.17,4068.47,3843.4,3843.4,3819.13
H,4,11,Normal,0,7319.95,9528.28,4508.86,4639.67,3459,6313.44,3919.06,3991.28,4975.6,4240.84,3617.42,3891.93,4126.03,3535.56,3884.09
H,4,12,Normal,0,8621.91,11369.2,5887.25,5579.29,3450.11,7469.07,3451.36,3788.56,5885.25,5450.01,3708.15,3575.73,3533.73,3459.67,3451.36
H,4,13,Normal,0,7617.96,9595.77,4940.69,5591.14,3385.42,6329.69,3406.14,3704.51,5031.33,5470.08,3667.52,4137.64,5087.58,3630.69,3489.02

