Map Type,Map Number,Nodes,Probability Distribution,Starting At Node,Shortest Distance,Worst Distance,Optimal,Worst,OptimalExpected,WorstExpected,OptimalExpectedHeuristic,MostProbable,Closest,Random,MCTS-UCT,ExpectedDistanceFixed,ExpectedDistanceMurrieta,ExpectedDistanceSimple,PartialOptimalHeuristic
H,4,3,Gamma,0,1503.59,1522.76,797.05,967.971,797.05,967.971,797.05,797.05,797.05,967.971,797.05,797.05,797.05,797.05,797.05
H,4,4,Gamma,0,2020.62,2146.27,1086.25,1318.89,967.677,1318.89,995.509,967.677,1086.25,1318.89,967.677,967.677,967.677,967.677,995.509
H,4,5,Gamma,0,3101.27,3299.99,1263.14,1826.9,1240.74,2046.39,1240.74,1240.74,1263.14,1240.74,1240.74,1240.74,1240.74,1240.74,1240.74
H,4,6,Gamma,0,3262.07,3497.92,1339.96,1770.32,1154.21,2117.3,1158.1,1190.17,1339.96,1645.02,1154.21,1190.17,1264.28,1154.21,1158.1
H,4,7,Gamma,0,3828.63,4374.04,1775.08,2316.88,1684.73,2778.9,1711.46,1684.73,1724.52,2253.73,1684.73,1684.73,1724.52,1690.78,1711.46
H,4,8,Gamma,0,5338.17,6415.38,2311.99,3399.84,2161.85,3781.91,2245.61,2161.85,3090.53,3024.47,2161.85,2161.85,2220.29,2229.84,2245.61
H,4,9,Gamma,0,6843.79,8581.97,2475.75,5171.78,2148.43,5696.77,2199.37,2148.43,3481.97,5086.5,2148.43,2148.43,2477.82,2148.43,2190.31
H,4,10,Gamma,0,7421.5,8923.96,3287.71,4064.96,2960.24,5438.94,2985.2,2994.9,4960.62,4847.85,2960.24,2999.16,3772.67,2976.95,2985.2
H,4,11,Gamma,0,7319.95,9528.28,4524.42,4673.86,2785.88,6028.83,2808.3,2926.57,3719.81,3506.04,2785.88,3280.44,3719.81,2787.41,2808.3
H,4,12,Gamma,0,8621.91,11369.2,4575.76,4794.45,3556.41,6865.31,3590.2,3943.26,4667.69,5985.28,3571.78,3711.94,4881.47,3590.2,3590.2
H,4,13,Gamma,0,7617.96,9595.77,3595.81,4522.8,2976.55,6002.48,3078.28,3013.47,3789.39,4117.46,2991.65,3094.9,3677.6,2984.94,3078.28

