Map Type,Map Number,Nodes,Probability Distribution,Starting At Node,Shortest Distance,Worst Distance,Optimal,Worst,OptimalExpected,WorstExpected,OptimalExpectedHeuristic,MostProbable,Closest,Random,MCTS-UCT,ExpectedDistanceFixed,ExpectedDistanceMurrieta,ExpectedDistanceSimple,PartialOptimalHeuristic
H,2,3,Uniform,0,2172.99,2220.93,1359.67,1364.18,1359.67,1364.18,1364.18,1364.18,1359.67,1359.67,1359.67,1359.67,1359.67,1359.67,1364.18
H,2,4,Uniform,0,2663.45,2825.04,1667.34,1686.95,1532.68,1699.98,1532.68,1625.61,1667.34,1625.61,1532.68,1625.61,1625.61,1532.68,1532.68
H,2,5,Uniform,0,2379.18,2509.47,1484.07,1506.21,1335.08,1512.86,1335.08,1343.47,1484.07,1348.53,1335.08,1512.86,1484.07,1335.08,1335.08
H,2,6,Uniform,0,3845.95,4325.83,2157.79,2468.51,1929.61,2519.82,2026.78,2132.43,1929.61,2153.46,1929.61,2161.32,1929.61,1929.61,2026.78
H,2,7,Uniform,0,4435.22,5088.59,2222.57,2750.18,2206.69,2890.75,2206.69,2490.52,2222.57,2726.66,2206.69,2223.98,2222.57,2206.69,2206.69
H,2,8,Uniform,0,5251.49,6118.44,2685.68,3399.71,2532.52,3474.43,2674.39,2749.57,2685.68,3115.92,2535.52,2675.44,2561.38,2535.52,2681.91
H,2,9,Uniform,0,5649.38,6921.28,3188.77,3784.84,3072.31,3844.02,3143.44,3672.77,3072.31,3392.25,3102.96,3393.7,3072.31,3102.96,3206.45
H,2,10,Uniform,0,5615.21,7035.77,3045.29,3896.26,2970.78,3990.01,3144.07,3339.66,2995.61,3649.42,3028.97,3183.45,2995.61,2977.33,3144.07
H,2,11,Uniform,0,6416.03,8050.1,3556.4,4450.39,3271.18,4531.58,3293.65,3940.94,3374.23,3912.76,3315.54,3610.89,3356.75,3324.79,3372.62
H,2,12,Uniform,0,7021.5,8769.46,3948.34,4379.09,3483.25,4942.76,3640.71,4235.91,3942.9,4208.16,3572,3956.43,3648.74,3531.84,3640.71
H,2,13,Uniform,0,8408.18,11153,4176.18,5851.93,4096.52,6249.4,4329.21,5178.9,4186.76,4912.37,4289.61,4421.59,4186.76,4209.2,4563.85

