Nodes,Probability Distribution,Starting At Node,Shortest Distance,Worst Distance,Optimal,Worst,OptimalExpected,WorstExpected,OptimalExpectedHeuristic,MostProbable,Closest,Random,MCTS-UCT,ExpectedDistanceFixed,ExpectedDistanceMurrieta,ExpectedDistanceSimple,PartialOptimalHeuristic
3,Exponential,0,1500.33,1519.8,456.175,431.647,431.647,456.175,456.175,431.647,456.175,456.175,431.647,431.647,431.647,431.647,456.175
4,Exponential,0,2859.44,3238.9,608.959,812.322,608.959,898.261,608.959,608.959,608.959,864.911,608.959,608.959,608.959,608.959,608.959
5,Exponential,0,3360.79,3613.44,549.21,799.746,549.21,1035.31,549.21,549.21,931.037,549.21,549.21,549.21,549.21,549.21,549.21
6,Exponential,0,3810.65,4158.5,1160.03,1257.96,988.52,1739.78,988.52,988.52,1148.33,1330.17,988.52,988.52,1093.23,988.52,988.52
7,Exponential,0,4851.08,6072.01,995.348,1915.76,995.348,2351.13,995.348,995.348,2111.23,1598.57,995.348,995.348,995.348,995.348,995.348
8,Exponential,0,5359.03,6585.91,1022.07,2405.42,1012.17,2851.4,1012.17,1012.17,2313.95,1587.51,1012.17,1012.17,1022.07,1012.17,1012.17
9,Exponential,0,6303.98,7638.46,2012.12,3225.71,1183.15,3634.75,1191.4,1190.4,1558.44,2823.22,1190.4,1190.4,1554.76,1183.15,1191.4
10,Exponential,0,6060.44,7660.65,2580.81,1984.21,1137.71,3467.53,1154.59,1137.71,2796.98,2756.41,1137.71,1154.59,1851.21,1137.71,1151.71
11,Exponential,0,8642.37,12520.8,1609.54,4784.08,1215.21,6108.8,1215.21,1245.63,1554.19,2091.52,1245.63,1215.21,1287.03,1215.21,1215.21
12,Exponential,0,7950.94,11116.6,4006.93,4012.69,1615.22,5696.72,1617.03,1718.63,3462.06,4027.98,1755.54,1718.63,2186.74,1615.22,1616.34
13,Exponential,0,9077.16,13175.5,1683.2,3463.75,1378.55,7200.97,1400.07,1378.64,1924.56,3354.29,1378.64,1388.02,1591.17,1400.16,1400.07

