Nodes,Probability Distribution,Starting At Node,Shortest Distance,Worst Distance,Optimal,Worst,OptimalExpected,WorstExpected,OptimalExpectedHeuristic,MostProbable,Closest,Random,MCTS-UCT,ExpectedDistanceFixed,ExpectedDistanceMurrieta,ExpectedDistanceSimple,PartialOptimalHeuristic
3,Gamma,0,1645.89,1672.86,776.004,853.382,776.004,853.382,853.382,776.004,776.004,853.382,776.004,776.004,776.004,776.004,853.382
4,Gamma,0,2347.55,2564.07,1092.92,1368.97,807.097,1375.15,807.097,807.097,1092.92,1368.97,807.097,807.097,807.097,807.097,807.097
5,Gamma,0,3459.74,3640.97,2112.08,1905.22,1670.71,2222.87,1760.59,1670.71,2053.49,1670.71,1670.71,1670.71,1698.54,1698.54,1760.59
6,Gamma,0,3178.01,3437.83,1884.72,1713.69,1329.45,2181.35,1329.45,1338.91,2034.29,1553.42,1338.91,1338.91,1329.45,1329.45,1383.4
7,Gamma,0,4537.97,5584.92,2737.09,3253.95,1900.48,3518.17,2034.99,1900.48,2435.06,2621.05,1900.48,1900.48,2370.8,1900.48,2034.99
8,Gamma,0,5018.61,5754.59,2319.61,2829.68,1969.77,3694.56,1992.7,1969.77,1969.77,2813.49,1969.77,1984.81,1969.77,1969.77,2040.12
9,Gamma,0,5161.3,6029.28,2474.97,3499.15,1876.5,3761.98,1984.77,1876.5,2474.97,3235.45,1876.5,1904.02,2212.57,1876.5,1962.46
10,Gamma,0,6832.02,8723.52,4282.94,4349.84,2769.8,5375.19,2848.48,2892.41,4161.7,4304.98,2769.8,3017.07,2802.01,2769.8,3012
11,Gamma,0,7034.01,8790.88,3051.82,4269.23,2785.03,5304.06,2960.29,2885.32,4425.91,3395.82,2830.63,3027.6,3911.42,2794.55,3157.23
12,Gamma,0,7941.43,9785.59,4290.57,4660.35,3114.22,5977.51,3114.22,3268.14,4518.95,4832.78,3170.12,3671.84,3913.73,3131.26,3125.97
13,Gamma,0,7370.92,9594.35,4223.48,4928.99,3108.69,5976.92,3217.23,3156.26,4067.49,4392.26,3222.42,3416.81,3762.68,3117.87,3289.91

