Map Type,Map Number,Nodes,Probability Distribution,Starting At Node,Shortest Distance,Worst Distance,Optimal,Worst,OptimalExpected,WorstExpected,OptimalExpectedHeuristic,MostProbable,Closest,Random,MCTS-UCT,ExpectedDistanceFixed,ExpectedDistanceMurrieta,ExpectedDistanceSimple,PartialOptimalHeuristic
H,2,3,Exponential,0,2172.99,2220.93,680.285,610.774,610.774,680.285,610.774,610.774,680.285,680.285,610.774,610.774,610.774,610.774,610.774
H,2,4,Exponential,0,2663.45,2825.04,861.982,795.028,778.109,959.011,778.109,778.109,861.982,959.011,778.109,778.109,778.109,778.109,778.109
H,2,5,Exponential,0,2379.18,2509.47,916.551,823.405,604.945,934.963,604.945,604.945,916.551,604.945,604.945,604.945,604.945,604.945,604.945
H,2,6,Exponential,0,3845.95,4325.83,826.009,1319.46,656.859,1460.15,673.394,656.859,768.884,906.741,656.859,656.859,713.676,656.859,673.394
H,2,7,Exponential,0,4435.22,5088.59,810.835,1163.4,744.407,1904.84,778.572,744.407,810.835,1346.8,744.407,744.407,864.532,778.572,778.572
H,2,8,Exponential,0,5251.49,6118.44,905.943,1795.53,834.561,2393.97,834.561,834.561,905.943,1378.27,834.561,834.561,870.651,834.561,834.561
H,2,9,Exponential,0,5649.38,6921.28,1248.39,2708.9,1230.55,3077.3,1230.55,1230.55,2195.23,2563.52,1230.55,1230.55,1248.39,1230.55,1230.55
H,2,10,Exponential,0,5615.21,7035.77,1165.91,1998.12,1154.73,3399.44,1154.73,1154.73,2752.79,2706.84,1154.73,1160.2,1157.63,1154.73,1154.73
H,2,11,Exponential,0,6416.03,8050.1,2273.62,3095.54,1233.69,4048.94,1238.18,1235.62,1720.35,1849.98,1235.62,1235.62,1529.83,1237.04,1238.18
H,2,12,Exponential,0,7021.5,8769.46,2166.72,1824.98,1277.66,4556.59,1281.19,1277.66,2620.88,3401.68,1277.66,1291.63,1669.46,1277.66,1281.19
H,2,13,Exponential,0,8408.18,11153,1666.18,4856.26,1221,6053.71,1225.68,1221.15,1615.13,2972.98,1221.15,1221.15,1595.88,1225.68,1225.68

