Map Type,Map Number,Nodes,Probability Distribution,Starting At Node,Shortest Distance,Worst Distance,Optimal,Worst,OptimalExpected,WorstExpected,OptimalExpectedHeuristic,MostProbable,Closest,Random,MCTS-UCT,ExpectedDistanceFixed,ExpectedDistanceMurrieta,ExpectedDistanceSimple,PartialOptimalHeuristic
H,2,3,Normal,0,2172.99,2220.93,1664.72,1340.51,1340.51,1664.72,1340.51,1340.51,1664.72,1664.72,1340.51,1340.51,1340.51,1340.51,1340.51
H,2,4,Normal,0,2663.45,2825.04,1672.49,1911.03,1672.49,1993.61,1951.92,1672.49,1672.49,1853.61,1672.49,1672.49,1672.49,1672.49,1951.92
H,2,5,Normal,0,2379.18,2509.47,1785.53,1575.57,1231.05,1879.51,1231.05,1252.64,1785.53,1297.64,1231.05,1252.64,1231.05,1231.05,1231.05
H,2,6,Normal,0,3845.95,4325.83,2061.17,2851.58,1928.25,3127.49,1987.41,1928.25,2197.34,2279.06,1928.25,1983.64,2070.08,1934.9,1987.41
H,2,7,Normal,0,4435.22,5088.59,2387.26,2607.82,1922.64,3694.7,1930.64,2111.8,2387.26,2755.22,1922.64,1930.64,2387.26,1922.64,1930.64
H,2,8,Normal,0,5251.49,6118.44,3209.58,3780.34,2656,4146.83,2791.17,2693.19,3209.58,3224.72,2659.88,2761.72,2788.54,2656,2875.93
H,2,9,Normal,0,5649.38,6921.28,3505.11,3079.7,2711.59,4793.03,2711.59,3037.63,3012.12,3871.25,2763.89,2795.88,2933.91,2766.84,2742.2
H,2,10,Normal,0,5615.21,7035.77,3100.7,4066.3,2478.87,4975.72,2482.29,2550.74,2770.1,3417.11,2506.28,2883.83,2654.5,2478.87,2482.29
H,2,11,Normal,0,6416.03,8050.1,3355.24,4322.05,2844.08,5580.29,2928.74,3114.52,3976.45,3691.31,2917.64,3030.01,3599.03,2939.44,2935.69
H,2,12,Normal,0,7021.5,8769.46,4197.26,4505.84,2974.82,6266.86,3096.77,3184.2,3612.52,4205.72,3167.31,3284.54,3385.56,2974.82,3096.77
H,2,13,Normal,0,8408.18,11153,4788.26,5595.51,3675.85,7371.26,3977.46,3955.01,5021.86,6209.37,3875.16,4132.54,4612.59,3685.94,3973.12

