Map Type,Map Number,Nodes,Probability Distribution,Starting At Node,Shortest Distance,Worst Distance,Optimal,Worst,OptimalExpected,WorstExpected,OptimalExpectedHeuristic,MostProbable,Closest,Random,MCTS-UCT,ExpectedDistanceFixed,ExpectedDistanceMurrieta,ExpectedDistanceSimple,PartialOptimalHeuristic
H,4,3,Uniform,0,1503.59,1522.76,1014.32,1113.41,1014.32,1113.41,1014.32,1014.32,1014.32,1113.41,1014.32,1014.32,1014.32,1014.32,1014.32
H,4,4,Uniform,0,2020.62,2146.27,1206.44,1441.12,1206.44,1441.12,1233.72,1441.12,1206.44,1441.12,1206.44,1206.44,1206.44,1206.44,1233.72
H,4,5,Uniform,0,3101.27,3299.99,1713.02,1980.81,1713.02,2011.32,1713.02,1835.33,1713.02,1746.61,1713.02,1746.61,1713.02,1713.02,1713.02
H,4,6,Uniform,0,3262.07,3497.92,1602.75,1876.11,1564.09,2061.81,1564.09,1652.72,1602.75,1894.7,1564.09,1624.68,1564.09,1564.09,1564.09
H,4,7,Uniform,0,3828.63,4374.04,2252.95,2328.45,2166.42,2675.77,2213.99,2307.78,2282.83,2526.43,2166.42,2304.11,2191.11,2166.42,2269.06
H,4,8,Uniform,0,5338.17,6415.38,2975.48,3360.76,2736.68,3645.71,2837.63,3230.4,2737.7,3491.7,2736.68,3148.71,2897.87,2740.06,2837.63
H,4,9,Uniform,0,6843.79,8581.97,3363.28,4850.95,3185.5,5100.8,3261.19,4175.5,3402.39,4699.29,3187.25,3490.18,3352.02,3185.5,4152.08
H,4,10,Uniform,0,7421.5,8923.96,3887.65,4818.29,3887.65,5135.47,3913.4,4543.1,4082.07,4946.44,4048.1,4184.52,3906.3,4048.1,3913.4
H,4,11,Uniform,0,7319.95,9528.28,3940.65,5144.69,3834.94,5502.93,3959.17,4361.05,4098.12,4512.93,4050.14,4344.06,3949.16,3889.84,4116.1
H,4,12,Uniform,0,8621.91,11369.2,4487.7,5732.84,4384.83,6383.21,4412.03,5360.38,4530.67,5519.49,4567.84,5078.07,4530.67,4547.78,4482.27
H,4,13,Uniform,0,7617.96,9595.77,4184.35,5036.12,3733.31,5401.75,3846.06,4611.26,4177.75,4279.72,3915.74,4335.28,3775.93,3851.31,3846.06

