Nodes,Probability Distribution,Starting At Node,Shortest Distance,Worst Distance,Optimal,Worst,OptimalExpected,WorstExpected,OptimalExpectedHeuristic,MostProbable,Closest,Random,MCTS-UCT,ExpectedDistanceFixed,ExpectedDistanceMurrieta,ExpectedDistanceSimple,PartialOptimalHeuristic
3,Uniform,0,1500.33,1519.8,850.799,1000.62,850.799,1000.62,850.799,1000.62,850.799,850.799,850.799,850.799,850.799,850.799,850.799
4,Uniform,0,2859.44,3238.9,1650.79,1852.67,1650.79,1852.67,1692.03,1728.11,1650.79,1728.11,1650.79,1650.79,1650.79,1650.79,1692.03
5,Uniform,0,3360.79,3613.44,1791.91,1986.92,1735.72,2027.56,1745.65,1745.65,1735.72,1791.91,1735.72,1772.06,1735.72,1735.72,1745.65
6,Uniform,0,3810.65,4158.5,2275.89,2427.88,2174.88,2555.94,2174.88,2344.97,2243.42,2502.09,2174.88,2243.42,2264.91,2174.88,2174.88
7,Uniform,0,4851.08,6072.01,2624.56,3246.35,2624.56,3426.62,2633.72,3097.78,2861.54,2953.27,2633.72,2777.48,2731.54,2633.72,2720.01
8,Uniform,0,5359.03,6585.91,2784.71,3654.05,2781.12,3780.67,2820.88,3297.29,3199.64,3268.22,2781.12,3204.67,2978.12,2781.12,2820.88
9,Uniform,0,6303.98,7638.46,3539.36,4222.75,3261.97,4397.42,3264.74,3590.14,3459.36,3776.33,3276.58,3788.67,3335.27,3325.39,3624.58
10,Uniform,0,6060.44,7660.65,3093.7,4200.5,2985.43,4272.81,2995.84,3546.28,2985.43,3863.51,3002.27,3435.14,2991.15,3024.88,3299.43
11,Uniform,0,8642.37,12520.8,4176.05,6734.35,4076.12,7084.52,4198.5,5589.31,4180.21,5105.72,4153.48,4487.89,4153.48,4175.69,4261.23
12,Uniform,0,7950.94,11116.6,4514.47,6151.01,4136.04,6721.23,4253.25,5028.59,4136.04,4991.99,4223.69,4653.77,4194.76,4175.49,4266.24
13,Uniform,0,9077.16,13175.5,4668.88,6603.41,4487.36,7464.88,4790.12,5621.82,4781.62,5407.06,4693.82,5009.08,4618.99,4639.19,4849.42

