Nodes,Probability Distribution,Starting At Node,Shortest Distance,Worst Distance,Optimal,Worst,OptimalExpected,WorstExpected,OptimalExpectedHeuristic,MostProbable,Closest,Random,MCTS-UCT,ExpectedDistanceFixed,ExpectedDistanceMurrieta,ExpectedDistanceSimple,PartialOptimalHeuristic
3,Normal,0,1645.89,1672.86,1093.31,1230.77,1093.31,1230.77,1230.77,1093.31,1093.31,1230.77,1093.31,1093.31,1093.31,1093.31,1230.77
4,Normal,0,2347.55,2564.07,1627.24,1726.42,1187.47,1862.67,1187.47,1428.75,1627.24,1726.42,1187.47,1187.47,1187.47,1187.47,1187.47
5,Normal,0,3459.74,3640.97,2289.83,2076.55,2005.07,2666.25,2005.07,2118.22,2516.24,2211.33,2005.07,2076.55,2237.44,2005.07,2005.07
6,Normal,0,3178.01,3437.83,2129.69,2161.59,1671.36,2516.22,1671.36,1697.55,2301.59,1899.63,1671.66,1697.55,2036.97,1671.36,1671.36
7,Normal,0,4537.97,5584.92,3350.15,3210.6,2231.62,3689.14,2247.7,2287.26,3292.54,2981.02,2265.63,2311.79,2287.26,2247.7,2247.7
8,Normal,0,5018.61,5754.59,3171.18,3308.97,2377.26,4160.86,2466,2489.93,2706.04,3314.76,2377.26,2418.64,2393.35,2377.26,2385.98
9,Normal,0,5161.3,6029.28,3408.22,3519.53,2399.69,3906.5,2399.69,2520.64,3408.22,3494.17,2416.76,2478.13,3118.4,2399.69,2412.91
10,Normal,0,6832.02,8723.52,4454.74,4883.68,3307.57,6191.59,3501.54,3584.43,4095.79,4155.67,3404.69,3394.42,4095.79,3310.68,3523.91
11,Normal,0,7034.01,8790.88,3326.03,4065.31,2906.13,5883.12,2906.13,2987.72,4824.11,4139.06,3086.2,3387.16,3998.22,2932.89,2953.52
12,Normal,0,7941.43,9785.59,3698.03,5341.53,3379.26,6330.79,3421.79,3708.15,4226.35,4427.73,3503.71,3783.83,4690.69,3379.26,3386.21
13,Normal,0,7370.92,9594.35,5386.42,5215.1,2862.4,6237.64,2954.56,3143.6,4994.31,5667.89,3303.47,3625.46,3700.34,2862.4,3004.43

