Nodes,Repetition,System Time,Object at Room,Worst Distance,Rooms Explored (Optimal),Traveled Distance (Optimal),Rooms Explored (Worst),Traveled Distance (Worst),Rooms Explored (OptimalExpected),Traveled Distance (OptimalExpected),Rooms Explored (WorstExpected),Traveled Distance (WorstExpected),Rooms Explored (MostProbable),Traveled Distance (MostProbable),Rooms Explored (Closest),Traveled Distance (Closest),Rooms Explored (Random),Traveled Distance (Random),Rooms Explored (ExpectedTimeFixed),Traveled Distance (ExpectedTimeFixed),Rooms Explored (ExpectedTimeVariable),Traveled Distance (ExpectedTimeVariable)
13,478,1412619793,12,1695.06,2,85.4049,8,983.661,11,641.153,4,431.132,10,885.008,2,85.4049,4,333.025,8,739.448,11,800.865
13,479,1412619793,11,1695.06,7,402.43,9,1129.31,2,101.254,5,576.779,6,460.034,13,779.954,2,101.254,5,443.793,7,475.698
13,480,1412619793,11,1695.06,7,402.43,9,1129.31,2,101.254,5,576.779,6,460.034,13,779.954,2,101.254,5,443.793,7,475.698
13,481,1412619793,9,1695.06,4,210.608,2,144.933,8,459.278,7,858.986,7,583.887,4,210.608,10,1020.51,10,960.834,5,297.186
13,482,1412619793,3,1695.06,8,456.358,5,558.369,3,155.182,9,1132.07,3,174.42,12,726.026,11,1089.73,3,174.42,3,174.42
13,483,1412619793,6,1695.06,13,764.824,10,1272.39,12,724.186,2,149.892,11,968.042,10,583.444,7,712.808,11,1045.72,10,717.831
13,484,1412619793,2,1695.06,3,152.002,12,1553.44,7,400.672,12,1523.4,4,238.58,3,152.002,6,611.515,6,546.953,4,238.58
13,485,1412619793,4,1695.06,10,580.218,7,845.654,4,218.905,13,1597.69,2,110.697,7,398.837,3,195.017,2,110.697,2,110.697
13,486,1412619793,11,1695.06,7,402.43,9,1129.31,2,101.254,5,576.779,6,460.034,13,779.954,2,101.254,5,443.793,7,475.698
13,487,1412619793,4,1695.06,10,580.218,7,845.654,4,218.905,13,1597.69,2,110.697,7,398.837,3,195.017,2,110.697,2,110.697
13,488,1412619793,11,1695.06,7,402.43,9,1129.31,2,101.254,5,576.779,6,460.034,13,779.954,2,101.254,5,443.793,7,475.698
13,489,1412619793,12,1695.06,2,85.4049,8,983.661,11,641.153,4,431.132,10,885.008,2,85.4049,4,333.025,8,739.448,11,800.865
13,490,1412619793,2,1695.06,3,152.002,12,1553.44,7,400.672,12,1523.4,4,238.58,3,152.002,6,611.515,6,546.953,4,238.58
13,491,1412619793,4,1695.06,10,580.218,7,845.654,4,218.905,13,1597.69,2,110.697,7,398.837,3,195.017,2,110.697,2,110.697
13,492,1412619793,9,1695.06,4,210.608,2,144.933,8,459.278,7,858.986,7,583.887,4,210.608,10,1020.51,10,960.834,5,297.186
13,493,1412619793,9,1695.06,4,210.608,2,144.933,8,459.278,7,858.986,7,583.887,4,210.608,10,1020.51,10,960.834,5,297.186
13,494,1412619793,11,1695.06,7,402.43,9,1129.31,2,101.254,5,576.779,6,460.034,13,779.954,2,101.254,5,443.793,7,475.698
13,495,1412619793,2,1695.06,3,152.002,12,1553.44,7,400.672,12,1523.4,4,238.58,3,152.002,6,611.515,6,546.953,4,238.58
13,496,1412619793,9,1695.06,4,210.608,2,144.933,8,459.278,7,858.986,7,583.887,4,210.608,10,1020.51,10,960.834,5,297.186
13,497,1412619793,12,1695.06,2,85.4049,8,983.661,11,641.153,4,431.132,10,885.008,2,85.4049,4,333.025,8,739.448,11,800.865
13,498,1412619793,3,1695.06,8,456.358,5,558.369,3,155.182,9,1132.07,3,174.42,12,726.026,11,1089.73,3,174.42,3,174.42
13,499,1412619793,4,1695.06,10,580.218,7,845.654,4,218.905,13,1597.69,2,110.697,7,398.837,3,195.017,2,110.697,2,110.697
13,500,1412619793,6,1695.06,13,764.824,10,1272.39,12,724.186,2,149.892,11,968.042,10,583.444,7,712.808,11,1045.72,10,717.831
13,501,1412619793,6,1695.06,13,764.824,10,1272.39,12,724.186,2,149.892,11,968.042,10,583.444,7,712.808,11,1045.72,10,717.831
13,502,1412619793,7,1695.06,5,267.025,4,411.092,10,568.256,10,1279.35,5,337.939,6,319.586,8,815.483,4,321.698,6,353.603
13,503,1412619793,2,1695.06,3,152.002,12,1553.44,7,400.672,12,1523.4,4,238.58,3,152.002,6,611.515,6,546.953,4,238.58
13,504,1412619793,4,1695.06,10,580.218,7,845.654,4,218.905,13,1597.69,2,110.697,7,398.837,3,195.017,2,110.697,2,110.697
13,505,1412619793,3,1695.06,8,456.358,5,558.369,3,155.182,9,1132.07,3,174.42,12,726.026,11,1089.73,3,174.42,3,174.42
13,506,1412619793,7,1695.06,5,267.025,4,411.092,10,568.256,10,1279.35,5,337.939,6,319.586,8,815.483,4,321.698,6,353.603
13,507,1412619793,11,1695.06,7,402.43,9,1129.31,2,101.254,5,576.779,6,460.034,13,779.954,2,101.254,5,443.793,7,475.698
13,508,1412619793,2,1695.06,3,152.002,12,1553.44,7,400.672,12,1523.4,4,238.58,3,152.002,6,611.515,6,546.953,4,238.58
13,509,1412619793,7,1695.06,5,267.025,4,411.092,10,568.256,10,1279.35,5,337.939,6,319.586,8,815.483,4,321.698,6,353.603
13,510,1412619793,11,1695.06,7,402.43,9,1129.31,2,101.254,5,576.779,6,460.034,13,779.954,2,101.254,5,443.793,7,475.698
13,511,1412619793,0,1695.06,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
13,512,1412619793,3,1695.06,8,456.358,5,558.369,3,155.182,9,1132.07,3,174.42,12,726.026,11,1089.73,3,174.42,3,174.42
13,513,1412619793,2,1695.06,3,152.002,12,1553.44,7,400.672,12,1523.4,4,238.58,3,152.002,6,611.515,6,546.953,4,238.58
13,514,1412619793,7,1695.06,5,267.025,4,411.092,10,568.256,10,1279.35,5,337.939,6,319.586,8,815.483,4,321.698,6,353.603
13,515,1412619793,7,1695.06,5,267.025,4,411.092,10,568.256,10,1279.35,5,337.939,6,319.586,8,815.483,4,321.698,6,353.603
13,516,1412619793,7,1695.06,5,267.025,4,411.092,10,568.256,10,1279.35,5,337.939,6,319.586,8,815.483,4,321.698,6,353.603
