Nodes,Repetition,System Time,Object at Room,Rooms Explored (Optimal),Traveled Distance (Optimal),Rooms Explored (Worst),Traveled Distance (Worst),Rooms Explored (OptimalExpected),Traveled Distance (OptimalExpected),Rooms Explored (WorstExpected),Traveled Distance (WorstExpected),Rooms Explored (Most Probable),Traveled Distance (Most Probable),Rooms Explored (Closest),Traveled Distance (Closest),Rooms Explored (Random),Traveled Distance (Random),Rooms Explored (ExpectedTimeFixed),Traveled Distance (ExpectedTimeFixed),Rooms Explored (ExpectedTimeVariable),Traveled Distance (ExpectedTimeVariable)
14,877,1412441008,2,3,151.154,3,854.541,2,66.4264,9,3433.21,4,549.659,3,151.154,4,897.944,2,66.4264,2,66.4264
14,878,1412441008,3,6,717.942,10,3560.99,4,313.421,11,4204.44,3,377.451,5,495.102,10,2200.12,4,313.421,3,238.634
14,879,1412441008,8,10,1247.37,9,3282.58,8,842.854,6,2309.08,13,3571.28,10,1258.93,3,570.15,13,3105.15,11,1645.07
14,880,1412441008,13,5,574.516,8,2913.2,13,1939.1,5,1939.7,8,1782.34,6,638.528,2,200.77,6,773.328,12,2014.45
14,881,1412441008,2,3,151.154,3,854.541,2,66.4264,9,3433.21,4,549.659,3,151.154,4,897.944,2,66.4264,2,66.4264
14,882,1412441008,6,12,1673.75,2,399.794,10,1269.23,2,399.794,12,3299.09,12,1685.31,8,1643.6,14,3377.34,8,1070.32
14,883,1412441008,10,14,1837.67,6,2271.82,12,1433.15,4,1433.75,9,2288.3,14,1849.22,7,1482.59,12,2810.99,9,1231.34
14,884,1412441008,13,5,574.516,8,2913.2,13,1939.1,5,1939.7,8,1782.34,6,638.528,2,200.77,6,773.328,12,2014.45
14,885,1412441008,1,2,44.7279,12,4316.32,3,172.852,7,2621.81,10,2737.18,2,44.7279,5,1004.37,3,172.852,13,2238.53
14,886,1412441008,3,6,717.942,10,3560.99,4,313.421,11,4204.44,3,377.451,5,495.102,10,2200.12,4,313.421,3,238.634
14,887,1412441008,7,11,1469.23,11,3921.5,9,1064.71,10,3843.93,5,960.382,11,1480.78,11,2560.63,7,1221.57,6,797.168
14,888,1412441008,8,10,1247.37,9,3282.58,8,842.854,6,2309.08,13,3571.28,10,1258.93,3,570.15,13,3105.15,11,1645.07
14,889,1412441008,11,13,1733.07,4,1273.58,11,1328.55,8,3014.17,6,1174.22,13,1744.63,12,2774.47,9,1688.5,7,1011.01
