Nodes,Repetition,System Time,Object at Room,Worst Distance,Rooms Explored (Optimal),Traveled Distance (Optimal),Rooms Explored (Worst),Traveled Distance (Worst),Rooms Explored (OptimalExpected),Traveled Distance (OptimalExpected),Rooms Explored (WorstExpected),Traveled Distance (WorstExpected),Rooms Explored (MostProbable),Traveled Distance (MostProbable),Rooms Explored (Closest),Traveled Distance (Closest),Rooms Explored (Random),Traveled Distance (Random),Rooms Explored (MCTS-UCT),Traveled Distance (MCTS-UCT),Rooms Explored (ExpectedDistanceFixed),Traveled Distance (ExpectedDistanceFixed),Rooms Explored (ExpectedDistanceMurrieta),Traveled Distance (ExpectedDistanceMurrieta),Rooms Explored (ExpectedDistanceSimple),Traveled Distance (ExpectedDistanceSimple)
50,118,1416461360,13,0,14,16711.2,14,16711.2,14,16711.2,14,16711.2,35,52308.1,42,41761.4,27,39352.2,37,43909.6,25,36754,19,17965.6,38,41682.9
50,119,1416461360,34,0,35,49919.3,35,49919.3,35,49919.3,35,49919.3,15,20764.8,7,6249.46,19,26474.7,25,27547.8,4,3381.88,12,11318.1,9,7699.45
50,120,1416461360,17,0,18,22813,18,22813,18,22813,18,22813,3,3682.62,15,14569.3,18,25318.1,2,1191.54,2,1191.54,2,1191.54,20,19513.3
50,121,1416461360,40,0,41,58039,41,58039,41,58039,41,58039,11,14925.9,31,30888.2,25,36242,38,45059.6,6,6621.55,34,34159,12,10796.3
50,122,1416461360,27,0,28,39588.1,28,39588.1,28,39588.1,28,39588.1,7,9407.94,12,11046.4,48,70413.9,14,14831,3,2256.73,23,22030.8,4,3210.14
50,123,1416461360,27,0,28,39588.1,28,39588.1,28,39588.1,28,39588.1,7,9407.94,12,11046.4,48,70413.9,14,14831,3,2256.73,23,22030.8,4,3210.14
50,124,1416461360,5,0,6,5308.09,6,5308.09,6,5308.09,6,5308.09,4,5170.22,21,20601.7,43,63016.3,16,17422,10,12227.7,8,7330.4,2,993.696
50,125,1416461360,43,0,44,61630,44,61630,44,61630,44,61630,9,12125.4,9,8201.77,9,11839.9,30,33605.4,9,10990.7,18,16817.9,6,4904.12
50,126,1416461360,8,0,9,10103,9,10103,9,10103,9,10103,8,11265.4,41,40638.2,40,58996.5,24,26541.5,12,15345.6,20,18896.7,13,11804
50,127,1416461360,33,0,34,48509.1,34,48509.1,34,48509.1,34,48509.1,2,1655.58,49,51409.9,37,54099.8,10,9559.29,15,19377.1,17,15996.4,5,4082.61
