Nodes,Repetition,System Time,Object at Room,Worst Distance,Rooms Explored (Optimal),Traveled Distance (Optimal),Rooms Explored (Worst),Traveled Distance (Worst),Rooms Explored (OptimalExpected),Traveled Distance (OptimalExpected),Rooms Explored (WorstExpected),Traveled Distance (WorstExpected),Rooms Explored (MostProbable),Traveled Distance (MostProbable),Rooms Explored (Closest),Traveled Distance (Closest),Rooms Explored (Random),Traveled Distance (Random),Rooms Explored (MCTS-UCT),Traveled Distance (MCTS-UCT),Rooms Explored (ExpectedDistanceFixed),Traveled Distance (ExpectedDistanceFixed),Rooms Explored (ExpectedDistanceMurrieta),Traveled Distance (ExpectedDistanceMurrieta),Rooms Explored (ExpectedDistanceSimple),Traveled Distance (ExpectedDistanceSimple)
50,952,1416461482,7,0,8,8570.84,8,8570.84,8,8570.84,8,8570.84,14,19015.1,29,28603.2,17,24066.6,20,22175.2,7,7760.64,32,31493.3,11,10453.3
50,953,1416461482,38,0,39,55187.1,39,55187.1,39,55187.1,39,55187.1,21,30327.2,13,12185.5,38,56089.7,43,51564.5,13,16908.6,24,23169.9,22,22386.7
50,954,1416461482,12,0,13,15404,13,15404,13,15404,13,15404,10,13537.2,36,35493.9,34,48669.2,32,35858.6,11,13931.1,4,3311.09,14,13557.9
50,955,1416461482,36,0,37,52205.1,37,52205.1,37,52205.1,37,52205.1,24,34887.6,24,23316.5,29,42148.5,29,32536.5,30,42838.1,40,40834.8,20,20131
50,956,1416461482,12,0,13,15404,13,15404,13,15404,13,15404,10,13537.2,36,35493.9,34,48669.2,32,35858.6,11,13931.1,4,3311.09,14,13557.9
50,957,1416461482,41,0,42,59492.9,42,59492.9,42,59492.9,42,59492.9,29,42652,46,46703.1,16,22831,6,5501.97,31,44538,45,47013.8,34,36773
50,958,1416461482,13,0,14,16711.2,14,16711.2,14,16711.2,14,16711.2,35,52308.1,42,41761.4,27,39352.2,37,43909.6,25,36754,19,17965.6,33,35032
50,959,1416461482,24,0,25,34089,25,34089,25,34089,25,34089,31,45452.2,14,13430.1,44,64490.8,40,47771.5,37,55022.5,3,2421.77,32,33460.8
50,960,1416461482,43,0,44,61630,44,61630,44,61630,44,61630,9,12125.4,9,8201.77,9,11839.9,30,33605.4,9,10990.7,18,16817.9,5,4378.15
50,961,1416461482,33,0,34,48509.1,34,48509.1,34,48509.1,34,48509.1,2,1655.58,49,51409.9,37,54099.8,10,9559.29,15,19377.1,17,15996.4,6,5245.71
50,962,1416461482,36,0,37,52205.1,37,52205.1,37,52205.1,37,52205.1,24,34887.6,24,23316.5,29,42148.5,29,32536.5,30,42838.1,40,40834.8,20,20131
