Nodes,Repetition,System Time,Object at Room,Rooms Explored (Optimal),Traveled Distance (Optimal),Rooms Explored (Worst),Traveled Distance (Worst),Rooms Explored (OptimalExpected),Traveled Distance (OptimalExpected),Rooms Explored (WorstExpected),Traveled Distance (WorstExpected),Rooms Explored (Most Probable),Traveled Distance (Most Probable),Rooms Explored (Closest),Traveled Distance (Closest),Rooms Explored (Random),Traveled Distance (Random),Rooms Explored (ExpectedTimeFixed),Traveled Distance (ExpectedTimeFixed),Rooms Explored (ExpectedTimeVariable),Traveled Distance (ExpectedTimeVariable)
14,821,1412442009,4,8,479.224,13,1698.31,2,51.6301,10,1303.66,5,499.909,2,51.6301,10,785.904,2,51.6301,2,51.6301
14,822,1412442009,12,6,324.615,8,982.921,13,776.324,12,1561.35,13,1426.77,9,498.142,8,633.404,11,953.514,9,498.142
14,823,1412442009,8,14,840.7,3,284.376,8,413.106,3,284.376,9,1035.48,8,413.106,12,1047.02,6,434.119,8,413.106
14,824,1412442009,1,5,258.017,2,145.223,12,709.727,2,145.223,2,145.223,13,819.425,3,155.762,14,1315.79,13,819.425
14,825,1412442009,11,10,596.876,11,1405.34,4,169.281,8,1010.69,12,1317.91,4,169.281,5,313.686,10,844.65,4,169.281
14,826,1412442009,10,2,56.3096,7,837.275,11,635.899,6,723.65,11,1232.5,14,893.253,11,920.996,3,186.722,14,893.253
14,827,1412442009,5,3,132.976,12,1548.42,10,559.232,9,1153.77,6,649.801,11,694.384,2,65.6679,4,263.389,11,694.384
14,828,1412442009,5,3,132.976,12,1548.42,10,559.232,9,1153.77,6,649.801,11,694.384,2,65.6679,4,263.389,11,694.384
14,829,1412442009,5,3,132.976,12,1548.42,10,559.232,9,1153.77,6,649.801,11,694.384,2,65.6679,4,263.389,11,694.384
14,830,1412442009,3,4,193.857,9,1120.93,9,498.351,13,1699.36,4,369.491,12,755.265,4,219.923,12,1091.52,12,755.265
14,831,1412442009,8,14,840.7,3,284.376,8,413.106,3,284.376,9,1035.48,8,413.106,12,1047.02,6,434.119,8,413.106
14,832,1412442009,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
14,833,1412442009,12,6,324.615,8,982.921,13,776.324,12,1561.35,13,1426.77,9,498.142,8,633.404,11,953.514,9,498.142
14,834,1412442009,6,13,783.724,5,556.3,7,356.13,14,1810.62,7,763.556,7,356.13,9,706.301,5,377.144,7,356.13
14,835,1412442009,12,6,324.615,8,982.921,13,776.324,12,1561.35,13,1426.77,9,498.142,8,633.404,11,953.514,9,498.142
14,836,1412442009,9,12,727.307,14,1837.34,6,299.713,11,1442.68,10,1131.25,6,299.713,13,1142.79,8,631.054,6,299.713
14,837,1412442009,6,13,783.724,5,556.3,7,356.13,14,1810.62,7,763.556,7,356.13,9,706.301,5,377.144,7,356.13
14,838,1412442009,6,13,783.724,5,556.3,7,356.13,14,1810.62,7,763.556,7,356.13,9,706.301,5,377.144,7,356.13
14,839,1412442009,4,8,479.224,13,1698.31,2,51.6301,10,1303.66,5,499.909,2,51.6301,10,785.904,2,51.6301,2,51.6301
14,840,1412442009,3,4,193.857,9,1120.93,9,498.351,13,1699.36,4,369.491,12,755.265,4,219.923,12,1091.52,12,755.265
14,841,1412442009,3,4,193.857,9,1120.93,9,498.351,13,1699.36,4,369.491,12,755.265,4,219.923,12,1091.52,12,755.265
14,842,1412442009,8,14,840.7,3,284.376,8,413.106,3,284.376,9,1035.48,8,413.106,12,1047.02,6,434.119,8,413.106
14,843,1412442009,4,8,479.224,13,1698.31,2,51.6301,10,1303.66,5,499.909,2,51.6301,10,785.904,2,51.6301,2,51.6301
14,844,1412442009,1,5,258.017,2,145.223,12,709.727,2,145.223,2,145.223,13,819.425,3,155.762,14,1315.79,13,819.425
14,845,1412442009,10,2,56.3096,7,837.275,11,635.899,6,723.65,11,1232.5,14,893.253,11,920.996,3,186.722,14,893.253
14,846,1412442009,6,13,783.724,5,556.3,7,356.13,14,1810.62,7,763.556,7,356.13,9,706.301,5,377.144,7,356.13
14,847,1412442009,6,13,783.724,5,556.3,7,356.13,14,1810.62,7,763.556,7,356.13,9,706.301,5,377.144,7,356.13
14,848,1412442009,2,9,542.948,6,690.211,3,115.353,5,576.586,3,258.794,3,115.353,7,539.393,13,1202.22,3,115.353
14,849,1412442009,12,6,324.615,8,982.921,13,776.324,12,1561.35,13,1426.77,9,498.142,8,633.404,11,953.514,9,498.142
14,850,1412442009,1,5,258.017,2,145.223,12,709.727,2,145.223,2,145.223,13,819.425,3,155.762,14,1315.79,13,819.425
14,851,1412442009,4,8,479.224,13,1698.31,2,51.6301,10,1303.66,5,499.909,2,51.6301,10,785.904,2,51.6301,2,51.6301
14,852,1412442009,2,9,542.948,6,690.211,3,115.353,5,576.586,3,258.794,3,115.353,7,539.393,13,1202.22,3,115.353
14,853,1412442009,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
