Experiment,System Time,Object at Room,Rooms Explored (Optimal),Traveled Distance (Optimal),Rooms Explored (Worst),Traveled Distance (Worst),Rooms Explored (Most Probable),Traveled Distance (Most Probable),Rooms Explored (Closest),Traveled Distance (Closest),Rooms Explored (Random),Traveled Distance (Random),Rooms Explored (ExpectedTimeFixed),Traveled Distance (ExpectedTimeFixed),Rooms Explored (ExpectedTimeVariable),Traveled Distance (ExpectedTimeVariable)
488,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
489,1411925348,1,5,325.036,3,231.48,5,360.45,2,90.0538,2,90.0538,5,360.45,5,346.492
490,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
491,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
492,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
493,1411925348,2,4,210.954,2,117.397,4,246.367,4,245.794,4,278.321,4,246.367,3,158.225
494,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
495,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
496,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
497,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
498,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
499,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
500,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
501,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
502,1411925348,1,5,325.036,3,231.48,5,360.45,2,90.0538,2,90.0538,5,360.45,5,346.492
503,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
504,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
505,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
506,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
507,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
508,1411925348,4,3,167.226,5,411.961,2,114.497,3,202.066,5,322.049,2,114.497,2,114.497
509,1411925348,1,5,325.036,3,231.48,5,360.45,2,90.0538,2,90.0538,5,360.45,5,346.492
510,1411925348,3,2,105.184,4,349.919,3,176.539,5,315.622,3,208.493,3,176.539,4,228.053
