Nodes,Repetition,System Time,Object at Room,Rooms Explored (Optimal),Traveled Distance (Optimal),Rooms Explored (Worst),Traveled Distance (Worst),Rooms Explored (OptimalExpected),Traveled Distance (OptimalExpected),Rooms Explored (WorstExpected),Traveled Distance (WorstExpected),Rooms Explored (Most Probable),Traveled Distance (Most Probable),Rooms Explored (Closest),Traveled Distance (Closest),Rooms Explored (Random),Traveled Distance (Random),Rooms Explored (ExpectedTimeFixed),Traveled Distance (ExpectedTimeFixed),Rooms Explored (ExpectedTimeVariable),Traveled Distance (ExpectedTimeVariable)
14,103,1412439701,8,10,1247.37,9,3282.58,9,1024.53,10,3924.03,9,1744.65,10,1258.93,3,570.15,9,1601.64,10,1258.93
14,104,1412439701,3,6,717.942,10,3560.99,5,495.102,11,4202.44,4,323.362,5,495.102,10,2200.12,4,323.362,5,495.102
14,105,1412439701,2,3,151.154,3,854.541,3,151.154,7,2805.76,3,151.154,3,151.154,4,897.944,3,151.154,3,151.154
14,106,1412439701,10,14,1837.67,6,2271.82,13,1614.83,2,420.598,11,2142.23,14,1849.22,7,1482.59,14,2363.07,14,1849.22
14,107,1412439701,1,2,44.7279,12,4316.32,2,44.7279,9,3611.31,2,44.7279,2,44.7279,5,1004.37,2,44.7279,2,44.7279
14,108,1412439701,11,13,1733.07,4,1273.58,12,1510.23,6,2386.73,12,2246.83,13,1744.63,12,2774.47,12,2142.75,13,1744.63
14,109,1412439701,2,3,151.154,3,854.541,3,151.154,7,2805.76,3,151.154,3,151.154,4,897.944,3,151.154,3,151.154
14,110,1412439701,10,14,1837.67,6,2271.82,13,1614.83,2,420.598,11,2142.23,14,1849.22,7,1482.59,14,2363.07,14,1849.22
14,111,1412439701,1,2,44.7279,12,4316.32,2,44.7279,9,3611.31,2,44.7279,2,44.7279,5,1004.37,2,44.7279,2,44.7279
14,112,1412439701,13,5,574.516,8,2913.2,14,2120.78,5,1937.7,14,2831.27,6,638.528,2,200.77,7,1130.8,6,638.528
14,113,1412439701,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
